Currency,Date,JDate,Weekday,Open,High,Low,Close
دلار,1981-09-29,1360-07-07,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-09-30,1360-07-08,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1981-10-01,1360-07-09,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-03,1360-07-11,شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-04,1360-07-12,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-05,1360-07-13,دوشنبه,270.0,270.0,270.0,270.0
دلار,1981-10-06,1360-07-14,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-07,1360-07-15,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1981-10-08,1360-07-16,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-10,1360-07-18,شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-11,1360-07-19,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-12,1360-07-20,دوشنبه,270.0,270.0,270.0,270.0
دلار,1981-10-13,1360-07-21,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-14,1360-07-22,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1981-10-15,1360-07-23,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-17,1360-07-25,شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-18,1360-07-26,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-19,1360-07-27,دوشنبه,270.0,270.0,270.0,270.0
دلار,1981-10-20,1360-07-28,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-21,1360-07-29,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1981-10-22,1360-07-30,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-24,1360-08-02,شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-25,1360-08-03,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-26,1360-08-04,دوشنبه,270.0,270.0,270.0,270.0
دلار,1981-10-27,1360-08-05,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-28,1360-08-06,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1981-10-29,1360-08-07,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-10-31,1360-08-09,شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-01,1360-08-10,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-02,1360-08-11,دوشنبه,270.0,270.0,270.0,270.0
دلار,1981-11-03,1360-08-12,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-04,1360-08-13,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1981-11-05,1360-08-14,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-07,1360-08-16,شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-08,1360-08-17,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-09,1360-08-18,دوشنبه,270.0,270.0,270.0,270.0
دلار,1981-11-10,1360-08-19,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-11,1360-08-20,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1981-11-12,1360-08-21,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-14,1360-08-23,شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-15,1360-08-24,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-16,1360-08-25,دوشنبه,270.0,270.0,270.0,270.0
دلار,1981-11-17,1360-08-26,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-18,1360-08-27,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1981-11-19,1360-08-28,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-21,1360-08-30,شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-22,1360-09-01,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-23,1360-09-02,دوشنبه,270.0,270.0,270.0,270.0
دلار,1981-11-24,1360-09-03,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-25,1360-09-04,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1981-11-26,1360-09-05,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-28,1360-09-07,شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-29,1360-09-08,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-11-30,1360-09-09,دوشنبه,270.0,270.0,270.0,270.0
دلار,1981-12-01,1360-09-10,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-02,1360-09-11,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1981-12-03,1360-09-12,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-05,1360-09-14,شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-06,1360-09-15,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-07,1360-09-16,دوشنبه,270.0,270.0,270.0,270.0
دلار,1981-12-08,1360-09-17,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-09,1360-09-18,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1981-12-10,1360-09-19,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-12,1360-09-21,شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-13,1360-09-22,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-14,1360-09-23,دوشنبه,270.0,270.0,270.0,270.0
دلار,1981-12-15,1360-09-24,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-16,1360-09-25,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1981-12-17,1360-09-26,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-19,1360-09-28,شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-20,1360-09-29,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-21,1360-09-30,دوشنبه,270.0,270.0,270.0,270.0
دلار,1981-12-22,1360-10-01,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-23,1360-10-02,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1981-12-24,1360-10-03,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-26,1360-10-05,شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-27,1360-10-06,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-28,1360-10-07,دوشنبه,270.0,270.0,270.0,270.0
دلار,1981-12-29,1360-10-08,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1981-12-30,1360-10-09,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1981-12-31,1360-10-10,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-02,1360-10-12,شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-03,1360-10-13,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-04,1360-10-14,دوشنبه,270.0,270.0,270.0,270.0
دلار,1982-01-05,1360-10-15,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-06,1360-10-16,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1982-01-07,1360-10-17,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-09,1360-10-19,شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-10,1360-10-20,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-11,1360-10-21,دوشنبه,270.0,270.0,270.0,270.0
دلار,1982-01-12,1360-10-22,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-13,1360-10-23,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1982-01-14,1360-10-24,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-16,1360-10-26,شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-17,1360-10-27,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-18,1360-10-28,دوشنبه,270.0,270.0,270.0,270.0
دلار,1982-01-19,1360-10-29,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-20,1360-10-30,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1982-01-21,1360-11-01,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-23,1360-11-03,شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-24,1360-11-04,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-25,1360-11-05,دوشنبه,270.0,270.0,270.0,270.0
دلار,1982-01-26,1360-11-06,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-27,1360-11-07,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1982-01-28,1360-11-08,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-30,1360-11-10,شنبه,270.0,270.0,270.0,270.0
دلار,1982-01-31,1360-11-11,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-01,1360-11-12,دوشنبه,270.0,270.0,270.0,270.0
دلار,1982-02-02,1360-11-13,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-03,1360-11-14,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1982-02-04,1360-11-15,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-06,1360-11-17,شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-07,1360-11-18,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-08,1360-11-19,دوشنبه,270.0,270.0,270.0,270.0
دلار,1982-02-09,1360-11-20,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-10,1360-11-21,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1982-02-11,1360-11-22,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-13,1360-11-24,شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-14,1360-11-25,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-15,1360-11-26,دوشنبه,270.0,270.0,270.0,270.0
دلار,1982-02-16,1360-11-27,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-17,1360-11-28,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1982-02-18,1360-11-29,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-20,1360-12-01,شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-21,1360-12-02,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-22,1360-12-03,دوشنبه,270.0,270.0,270.0,270.0
دلار,1982-02-23,1360-12-04,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-24,1360-12-05,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1982-02-25,1360-12-06,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-27,1360-12-08,شنبه,270.0,270.0,270.0,270.0
دلار,1982-02-28,1360-12-09,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-03-01,1360-12-10,دوشنبه,270.0,270.0,270.0,270.0
دلار,1982-03-02,1360-12-11,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-03-03,1360-12-12,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1982-03-04,1360-12-13,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-03-06,1360-12-15,شنبه,270.0,270.0,270.0,270.0
دلار,1982-03-07,1360-12-16,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-03-08,1360-12-17,دوشنبه,270.0,270.0,270.0,270.0
دلار,1982-03-09,1360-12-18,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-03-10,1360-12-19,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1982-03-11,1360-12-20,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-03-13,1360-12-22,شنبه,270.0,270.0,270.0,270.0
دلار,1982-03-14,1360-12-23,یک‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-03-15,1360-12-24,دوشنبه,270.0,270.0,270.0,270.0
دلار,1982-03-16,1360-12-25,سه‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-03-17,1360-12-26,چهارشنبه,270.0,270.0,270.0,270.0
دلار,1982-03-18,1360-12-27,پنج‌شنبه,270.0,270.0,270.0,270.0
دلار,1982-03-20,1360-12-29,شنبه,270.0,270.0,270.0,270.0
دلار,1982-03-21,1361-01-01,یک‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-03-22,1361-01-02,دوشنبه,350.0,350.0,350.0,350.0
دلار,1982-03-23,1361-01-03,سه‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-03-24,1361-01-04,چهارشنبه,350.0,350.0,350.0,350.0
دلار,1982-03-25,1361-01-05,پنج‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-03-27,1361-01-07,شنبه,350.0,350.0,350.0,350.0
دلار,1982-03-28,1361-01-08,یک‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-03-29,1361-01-09,دوشنبه,350.0,350.0,350.0,350.0
دلار,1982-03-30,1361-01-10,سه‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-03-31,1361-01-11,چهارشنبه,350.0,350.0,350.0,350.0
دلار,1982-04-01,1361-01-12,پنج‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-03,1361-01-14,شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-04,1361-01-15,یک‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-05,1361-01-16,دوشنبه,350.0,350.0,350.0,350.0
دلار,1982-04-06,1361-01-17,سه‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-07,1361-01-18,چهارشنبه,350.0,350.0,350.0,350.0
دلار,1982-04-08,1361-01-19,پنج‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-10,1361-01-21,شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-11,1361-01-22,یک‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-12,1361-01-23,دوشنبه,350.0,350.0,350.0,350.0
دلار,1982-04-13,1361-01-24,سه‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-14,1361-01-25,چهارشنبه,350.0,350.0,350.0,350.0
دلار,1982-04-15,1361-01-26,پنج‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-17,1361-01-28,شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-18,1361-01-29,یک‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-19,1361-01-30,دوشنبه,350.0,350.0,350.0,350.0
دلار,1982-04-20,1361-01-31,سه‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-21,1361-02-01,چهارشنبه,350.0,350.0,350.0,350.0
دلار,1982-04-22,1361-02-02,پنج‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-24,1361-02-04,شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-25,1361-02-05,یک‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-26,1361-02-06,دوشنبه,350.0,350.0,350.0,350.0
دلار,1982-04-27,1361-02-07,سه‌شنبه,350.0,350.0,350.0,350.0
دلار,1982-04-28,1361-02-08,چهارشنبه,350.0,350.0,350.0,350.0
